VIN,Model Year,Make,Model,Fuel Type (Primary),Body Class,Gross Vehicle Wt,MPG (City),MPG (Highway),MPG (Combined),MPG Source,MPG Estimated,CO2 (Primary),CO2 (Alt),Alt Range,Odometer,Annual Mileage,Asset ID,Department,Location,Assumed Vehicle (Text),Assumed Vehicle (ID),Match Confidence,Data Quality,Processing Status,Processing Error,Commercial Category,GVWR (pounds),Engine Horsepower,Engine Configuration,Fuel Type (Secondary),Vehicle Class,Series,Trim Level,Diesel Engine,Commercial Vehicle,Commercial Summary,ACF Compliance,ACF Detail,ACF Mandate Status,Proposed EV Year,EV Year Reason,Fuel Type Mismatch,atvType,barrels08,barrelsA08,battery,c240Dscr,c240bDscr,charge120,charge240,charge240b,city08,city08U,cityA08,cityA08U,cityCD,cityE,cityMpk,cityUF,cityUmpk,co2,co2TailpipeAGpm,co2TailpipeGpm,comb08,comb08U,combA08,combA08U,combE,combMpk,combUmpk,combinedCD,combinedUF,createdOn,cylDeact,cylDeactYesNo,cylinders,displ,drive,emissionsList,engId,eng_dscr,evMotor,feScore,fuelCost08,fuelCostA08,fuelType,fuelType1,Fuel Type (Secondary),ghgScore,ghgScoreA,guzzler,highway08,highway08U,highwayA08,highwayA08U,highwayCD,highwayE,highwayMpk,highwayUF,highwayUmpk,hlv,hpv,id,lv2,lv4,make,mfrCode,model,modifiedOn,mpgData,mpgRevised,phevBlended,phevCity,phevComb,phevHwy,pv2,pv4,range,rangeCity,rangeCityA,rangeHwy,rangeHwyA,startStop,trans_dscr,trany,UCity,UCityA,UHighway,UHighwayA,VClass,year,youSaveSpend,baseModel,sCharger,tCharger
1FAHP3F27CL123456,2012,FORD,Focus,Gasoline,Sedan/Saloon,"Class 1: 6,000 lb or less (2,722 kg or less)",27,36,30,FuelEconomy.gov,No,296.2,,,"42,500","12,000",ADM-001,Administration,City Hall,"Auto (AM-S6), 4 cyl, 2.0 L",31183,100%,94%,Success,,Light Duty,"6,000",160,In-Line,Flexible Fuel Vehicle (FFV),PASSENGER CAR,,SE,No,No,"Light Duty | GVWR: 6,000 lb",Exempt — Light-Duty,"GVWR 6,000 lbs; not subject to ACF",,,,,None,9.917,0.0,-1,None,None,0.0,0.0,0.0,27,26.887,0,0.0,0.0,0.0,0,0.0,0.0,-1,0.0,296.23333333333335,30,30.2573,0,0.0,0.0,0,0.0,0.0,0.0,2013-01-01T00:00:00-05:00,None,No,4,2.0,Front-Wheel Drive,None,6,SIDI; Select shift transmission,None,-1,1450,0,Regular,Regular Gasoline,None,-1,-1,None,36,35.7317,0,0.0,0.0,0.0,0,0.0,0.0,23,90,31183,0,13,Ford,FMX,Focus FWD,2017-04-05T00:00:00-04:00,Y,true,false,0,0,0,0,90,0,0.0,0.0,0.0,0.0,None,None,Automatic (AM-S6),35.0466,0.0,52.2073,0.0,Compact Cars,2012,500,Focus,None,None
3FA6P0H78HR123456,2017,FORD,Fusion,Gasoline,Sedan/Saloon,"Class 1: 6,000 lb or less (2,722 kg or less)",20,29,23,FuelEconomy.gov,No,386.0,,,"51,200","13,200",ADM-005,Administration,City Hall,"Auto (S6), 4 cyl, 2.0 L, Turbo",37381,100%,96%,Success,,Light Duty,"6,000",175,In-Line,,PASSENGER CAR,,SE,No,No,"Light Duty | GVWR: 6,000 lb",Exempt — Light-Duty,"GVWR 6,000 lbs; not subject to ACF",,,,,None,12.935217391304349,0.0,-1,None,None,0.0,0.0,0.0,20,19.85,0,0.0,0.0,0.0,0,0.0,0.0,386,0.0,386.0,23,23.0448,0,0.0,0.0,0,0.0,0.0,0.0,2016-04-20T00:00:00-04:00,N,No,4,2.0,All-Wheel Drive,None,7,SIDI,None,5,1900,0,Regular,Regular Gasoline,None,5,-1,None,29,28.6881,0,0.0,0.0,0.0,0,0.0,0.0,0,0,37381,0,16,Ford,FMX,Fusion AWD,2016-12-02T00:00:00-05:00,Y,false,false,0,0,0,0,103,0,0.0,0.0,0.0,0.0,N,None,Automatic (S6),25.0633,0.0,40.879,0.0,Midsize Cars,2017,-1750,Fusion,None,T
1FMCU0G67MUA12345,2021,FORD,Escape,Gasoline,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",26,31,28,FuelEconomy.gov,No,318.0,,,"67,800","14,500",PW-001,Public Works,Public Works Yard,"Auto 8-spd, 3 cyl, 1.5 L, Turbo",43650,100%,96%,Success,,Light Duty,"5,000",,In-Line,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,SE,No,No,"Light Duty | GVWR: 5,000 lb",Exempt — Light-Duty,"GVWR 5,000 lbs; not subject to ACF",,,,,None,10.625357142857142,0.0,-1,None,None,0.0,0.0,0.0,26,26.2388,0,0.0,0.0,0.0,0,0.0,0.0,318,0.0,318.0,28,28.0,0,0.0,0.0,0,0.0,0.0,0.0,2021-01-12T00:00:00-05:00,Y,Yes,3,1.5,All-Wheel Drive,None,116,SIDI,None,6,1550,0,Regular,Regular Gasoline,None,6,-1,None,31,31.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,43650,0,0,Ford,FMX,Escape AWD,2021-07-26T00:00:00-04:00,N,false,false,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Y,None,Automatic 8-spd,34.1,0.0,48.1,0.0,Small Sport Utility Vehicle 4WD,2021,0,Escape,None,T
1FMCU0G65MUA23456,2021,FORD,Escape,Gasoline,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",26,31,28,FuelEconomy.gov,No,318.0,,,"58,300","13,800",PW-002,Public Works,Public Works Yard,"Auto 8-spd, 3 cyl, 1.5 L, Turbo",43650,100%,96%,Success,,Light Duty,"5,000",,In-Line,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,SE,No,No,"Light Duty | GVWR: 5,000 lb",Exempt — Light-Duty,"GVWR 5,000 lbs; not subject to ACF",,,,,None,10.625357142857142,0.0,-1,None,None,0.0,0.0,0.0,26,26.2388,0,0.0,0.0,0.0,0,0.0,0.0,318,0.0,318.0,28,28.0,0,0.0,0.0,0,0.0,0.0,0.0,2021-01-12T00:00:00-05:00,Y,Yes,3,1.5,All-Wheel Drive,None,116,SIDI,None,6,1550,0,Regular,Regular Gasoline,None,6,-1,None,31,31.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,43650,0,0,Ford,FMX,Escape AWD,2021-07-26T00:00:00-04:00,N,false,false,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Y,None,Automatic 8-spd,34.1,0.0,48.1,0.0,Small Sport Utility Vehicle 4WD,2021,0,Escape,None,T
3GCPYFED4MG234567,2021,CHEVROLET,Silverado,Gasoline,Pickup,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",15,19,16,FuelEconomy.gov,No,547.0,512.0,288,"72,100","15,200",PW-003,Public Works,Public Works Yard,"Auto 6-spd, 8 cyl, 5.3 L, SIDI; FFV",43089,100%,90%,Success,,Light Duty,"7,000",,,,TRUCK,1500,Trail Boss - LT,No,Yes,"Light Duty | GVWR: 7,000 lb",Exempt — Light-Duty,"GVWR 7,000 lbs; not subject to ACF",,,,,FFV,18.594375,5.3225,-1,None,None,0.0,0.0,0.0,15,14.5136,11,10.946,0.0,0.0,0,0.0,0.0,547,512.0,547.0,16,16.2552,12,12.3592,0.0,0,0.0,0.0,0.0,2020-09-10T00:00:00-04:00,Y,Yes,8,5.3,Rear-Wheel Drive,None,699,SIDI; FFV,None,2,2750,3300,Gasoline or E85,Regular Gasoline,E85,2,3,None,19,19.0489,15,14.6747,0.0,0.0,0,0.0,0.0,0,0,43089,0,0,Chevrolet,GMX,Silverado 2WD,2021-04-26T00:00:00-04:00,N,false,false,0,0,0,0,0,0,0.0,0.0,0.0,0.0,N,None,Automatic 6-spd,17.9,13.5,27.0,0.0,Standard Pickup Trucks 2WD,2021,-6000,Silverado,None,None
3GCPYFED9MG345678,2021,CHEVROLET,Silverado,Gasoline,Pickup,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",15,19,16,FuelEconomy.gov,No,547.0,512.0,288,"85,400","16,100",PW-004,Public Works,Public Works Yard,"Auto 6-spd, 8 cyl, 5.3 L, SIDI; FFV",43089,100%,90%,Success,,Light Duty,"7,000",,,,TRUCK,1500,Trail Boss - LT,No,Yes,"Light Duty | GVWR: 7,000 lb",Exempt — Light-Duty,"GVWR 7,000 lbs; not subject to ACF",,,,,FFV,18.594375,5.3225,-1,None,None,0.0,0.0,0.0,15,14.5136,11,10.946,0.0,0.0,0,0.0,0.0,547,512.0,547.0,16,16.2552,12,12.3592,0.0,0,0.0,0.0,0.0,2020-09-10T00:00:00-04:00,Y,Yes,8,5.3,Rear-Wheel Drive,None,699,SIDI; FFV,None,2,2750,3300,Gasoline or E85,Regular Gasoline,E85,2,3,None,19,19.0489,15,14.6747,0.0,0.0,0,0.0,0.0,0,0,43089,0,0,Chevrolet,GMX,Silverado 2WD,2021-04-26T00:00:00-04:00,N,false,false,0,0,0,0,0,0,0.0,0.0,0.0,0.0,N,None,Automatic 6-spd,17.9,13.5,27.0,0.0,Standard Pickup Trucks 2WD,2021,-6000,Silverado,None,None
1FTNF1CF4DKE12345,2013,FORD,F-150,Gasoline,Pickup,"Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)",13,18,15,FuelEconomy.gov,No,599.0,,,"94,500","14,800",PW-005,Public Works,Public Works Yard,"Auto (S6), 8 cyl, 6.2 L",33184,90%,90%,Success,,Light Duty,"8,000",360,V-Shaped,,TRUCK,,,No,Yes,"Light Duty | GVWR: 8,000 lb",Exempt — Light-Duty,"GVWR 8,000 lbs; not subject to ACF",,,,,None,19.834,0.0,-1,None,None,0.0,0.0,0.0,13,12.9007,0,0.0,0.0,0.0,0,0.0,0.0,599,0.0,599.0,15,14.8638,0,0.0,0.0,0,0.0,0.0,0.0,2013-01-01T00:00:00-05:00,N,No,8,6.2,Rear-Wheel Drive,None,224,None,None,3,2900,0,Regular,Regular Gasoline,None,3,-1,None,18,18.2599,0,0.0,0.0,0.0,0,0.0,0.0,0,0,33184,0,0,Ford,FMX,F150 Pickup 2WD,2016-09-26T00:00:00-04:00,N,false,false,0,0,0,0,0,0,0.0,0.0,0.0,0.0,N,None,Automatic (S6),15.8,0.0,25.1,0.0,Standard Pickup Trucks 2WD,2013,-6750,F150,None,None
1FTNF1CF2DKE23456,2013,FORD,F-150,Gasoline,Pickup,"Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)",13,18,15,FuelEconomy.gov,No,599.0,,,"78,200","13,500",PW-006,Public Works,Public Works Yard,"Auto (S6), 8 cyl, 6.2 L",33184,90%,90%,Success,,Light Duty,"8,000",360,V-Shaped,,TRUCK,,,No,Yes,"Light Duty | GVWR: 8,000 lb",Exempt — Light-Duty,"GVWR 8,000 lbs; not subject to ACF",,,,,None,19.834,0.0,-1,None,None,0.0,0.0,0.0,13,12.9007,0,0.0,0.0,0.0,0,0.0,0.0,599,0.0,599.0,15,14.8638,0,0.0,0.0,0,0.0,0.0,0.0,2013-01-01T00:00:00-05:00,N,No,8,6.2,Rear-Wheel Drive,None,224,None,None,3,2900,0,Regular,Regular Gasoline,None,3,-1,None,18,18.2599,0,0.0,0.0,0.0,0,0.0,0.0,0,0,33184,0,0,Ford,FMX,F150 Pickup 2WD,2016-09-26T00:00:00-04:00,N,false,false,0,0,0,0,0,0,0.0,0.0,0.0,0.0,N,None,Automatic (S6),15.8,0.0,25.1,0.0,Standard Pickup Trucks 2WD,2013,-6750,F150,None,None
1FTFW1ET9DFA12345,2013,FORD,F-150,Gasoline,Pickup,"Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)",16,22,18,FuelEconomy.gov,No,481.0,,,"105,600","15,600",PW-007,Public Works,Public Works Yard,"Auto (S6), 6 cyl, 3.5 L, Turbo",33188,100%,92%,Success,,Light Duty,"8,000",365,V-Shaped,,TRUCK,,,No,Yes,"Light Duty | GVWR: 8,000 lb",Exempt — Light-Duty,"GVWR 8,000 lbs; not subject to ACF",,,,,None,16.528333333333336,0.0,-1,None,None,0.0,0.0,0.0,16,16.2501,0,0.0,0.0,0.0,0,0.0,0.0,481,0.0,481.0,18,18.4758,0,0.0,0.0,0,0.0,0.0,0.0,2013-01-01T00:00:00-05:00,N,No,6,3.5,Rear-Wheel Drive,None,230,SIDI,None,4,2450,0,Regular,Regular Gasoline,None,4,-1,None,22,22.1907,0,0.0,0.0,0.0,0,0.0,0.0,0,0,33188,0,0,Ford,FMX,F150 Pickup 2WD,2016-09-26T00:00:00-04:00,Y,false,false,0,0,0,0,0,0,0.0,0.0,0.0,0.0,N,None,Automatic (S6),20.1943,0.0,30.9149,0.0,Standard Pickup Trucks 2WD,2013,-4500,F150,None,T
1FTFW1ET3EKD34567,2014,FORD,F-150,Gasoline,Pickup,"Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)",16,22,18,FuelEconomy.gov,No,483.0,,,"92,300","14,200",PW-008,Public Works,Public Works Yard,"Auto (S6), 6 cyl, 3.5 L, Turbo",34525,100%,92%,Success,,Light Duty,"8,000",365,V-Shaped,,TRUCK,,,No,Yes,"Light Duty | GVWR: 8,000 lb",Exempt — Light-Duty,"GVWR 8,000 lbs; not subject to ACF",,,,,None,16.528333333333336,0.0,-1,None,None,0.0,0.0,0.0,16,16.1684,0,0.0,0.0,0.0,0,0.0,0.0,483,0.0,483.0,18,18.3987,0,0.0,0.0,0,0.0,0.0,0.0,2013-10-29T00:00:00-04:00,N,No,6,3.5,Rear-Wheel Drive,None,364,SIDI,None,4,2450,0,Regular,Regular Gasoline,None,4,-1,None,22,22.1296,0,0.0,0.0,0.0,0,0.0,0.0,0,0,34525,0,0,Ford,FMX,F150 Pickup 2WD,2016-09-26T00:00:00-04:00,N,false,false,0,0,0,0,0,0,0.0,0.0,0.0,0.0,N,None,Automatic (S6),20.0855,0.0,30.8234,0.0,Standard Pickup Trucks 2WD,2014,-4500,F150,None,T
